province_year,SUMW,N,RAWMEAN,RAWSEM,RAWLOWCI,RAWHIGHCI,ADJMEAN,ADJSEM,LOWCI,HIGHCI,VARIABLE,DATASET,WHERE
Bandundu_2010,7912,416,0.9038461538,0.0144538626,0.8755165831,0.9321757246,0.8981464262,0.0104084271,0.8777459091,0.9185469433,ANCp,rdata,(1 EQ 1)
Bandundu_2018,9012,840,0.8202380952,0.0132488797,0.7942702911,0.8462058994,0.8282301955,0.0122840563,0.8041534452,0.8523069458,ANCp,rdata,(1 EQ 1)
Bas Congo_2010,6338,342,0.9532163743,0.011419041,0.9308350539,0.9755976946,0.9571841801,0.0057935368,0.9458288479,0.9685395122,ANCp,rdata,(1 EQ 1)
Bas Congo_2018,6104,263,0.9163498099,0.0170720722,0.8828885484,0.9498110714,0.8965315484,0.0134358052,0.8701973703,0.9228657265,ANCp,rdata,(1 EQ 1)
Equateur_2010,8157,477,0.8427672956,0.0166673321,0.8100993246,0.8754352666,0.8489376312,0.0131602336,0.8231435733,0.8747316891,ANCp,rdata,(1 EQ 1)
Equateur_2018,9909,1665,0.7411411411,0.0107343279,0.7201018584,0.7621804239,0.7790573278,0.0090881075,0.761244637,0.7968700185,ANCp,rdata,(1 EQ 1)
Kasai Occidental_2010,8081,452,0.8097345133,0.0184621432,0.7735487125,0.845920314,0.7948779671,0.0155694512,0.7643618428,0.8253940914,ANCp,rdata,(1 EQ 1)
Kasai Occidental_2018,8491,759,0.6877470356,0.0168208044,0.6547782589,0.7207158122,0.7087741681,0.0137507199,0.6818227571,0.735725579,ANCp,rdata,(1 EQ 1)
Kasai Oriental_2010,8354,455,0.8021978022,0.0186745692,0.7655956466,0.8387999578,0.7968448378,0.015769863,0.7659359064,0.8277537692,ANCp,rdata,(1 EQ 1)
Kasai Oriental_2018,9639,1129,0.6793622675,0.0138902817,0.6521373153,0.7065872197,0.6673731781,0.0123995364,0.6430700866,0.6916762695,ANCp,rdata,(1 EQ 1)
Katanga_2010,8285,543,0.7992633517,0.017189307,0.7655723099,0.8329543936,0.7843145134,0.0167495414,0.7514854123,0.8171436144,ANCp,rdata,(1 EQ 1)
Katanga_2018,10431,1422,0.7074542897,0.012064137,0.6838085812,0.7310999983,0.7119132491,0.0103939637,0.6915410801,0.732285418,ANCp,rdata,(1 EQ 1)
Kinshasa_2010,2252,364,0.9450549451,0.0119437896,0.9216451175,0.9684647726,0.8815868692,0.0060220263,0.8697836975,0.8933900408,ANCp,rdata,(1 EQ 1)
Kinshasa_2018,2176,255,0.9490196078,0.0137742858,0.9220220078,0.9760172079,0.9224501088,0.01791165,0.8873432749,0.9575569428,ANCp,rdata,(1 EQ 1)
Maniema_2010,7581,424,0.766509434,0.0205452057,0.7262408309,0.8067780371,0.7694687847,0.0169382099,0.7362698934,0.8026676761,ANCp,rdata,(1 EQ 1)
Maniema_2018,6664,324,0.6975308642,0.0255181827,0.6475152261,0.7475465022,0.711581061,0.0172663095,0.6777390944,0.7454230276,ANCp,rdata,(1 EQ 1)
Nord Kivu_2010,6879,449,0.9510022272,0.0101872219,0.9310352722,0.9709691821,0.9556233949,0.0115375324,0.9330098314,0.9782369584,ANCp,rdata,(1 EQ 1)
Nord Kivu_2018,7729,339,0.982300885,0.0071614043,0.9682645325,0.9963372374,0.9883555441,0.004622709,0.9792950345,0.9974160536,ANCp,rdata,(1 EQ 1)
Orientale_2010,7284,355,0.9070422535,0.0154114101,0.8768358898,0.9372486172,0.9063219123,0.0116352177,0.8835168856,0.929126939,ANCp,rdata,(1 EQ 1)
Orientale_2018,10624,1169,0.8075278015,0.0115306951,0.7849276391,0.830127964,0.8189629328,0.0097491386,0.7998546212,0.8380712444,ANCp,rdata,(1 EQ 1)
Sud Kivu_2010,7112,482,0.8941908714,0.0140104849,0.866730321,0.9216514217,0.868483627,0.0149293765,0.8392220492,0.8977452049,ANCp,rdata,(1 EQ 1)
Sud Kivu_2018,8104,389,0.8997429306,0.0152279669,0.8698961155,0.9295897457,0.8953726555,0.0081589135,0.8793811851,0.9113641259,ANCp,rdata,(1 EQ 1)
