upy,SUMW,N,RAWMEAN,RAWSEM,RAWLOWCI,RAWHIGHCI,ADJMEAN,ADJSEM,LOWCI,HIGHCI,VARIABLE,DATASET,WHERE
2010_rural_Bandundu,6946,299,0.872909699,0.0192621726,0.8351558408,0.9106635572,0.8757833674,0.0129223648,0.8504555324,0.9011112024,ANCp,rdata,(1 EQ 1)
2010_rural_Bas Congo,6816,233,0.9484978541,0.0144794771,0.920118079,0.9768776292,0.9566828052,0.0059270919,0.9450657051,0.9682999053,ANCp,rdata,(1 EQ 1)
2010_rural_Equateur,7214,360,0.8027777778,0.0209712513,0.7616741252,0.8438814303,0.7910632101,0.0199372577,0.751986185,0.8301402352,ANCp,rdata,(1 EQ 1)
2010_rural_Kasai Occidental,6825,326,0.7576687117,0.0237320701,0.7111538543,0.804183569,0.7611590306,0.0178364353,0.7261996175,0.7961184438,ANCp,rdata,(1 EQ 1)
2010_rural_Kasai Oriental,8114,332,0.7831325301,0.0226175624,0.7388021079,0.8274629524,0.7916507232,0.0195573013,0.7533184128,0.8299830337,ANCp,rdata,(1 EQ 1)
2010_rural_Katanga,8023,359,0.7883008357,0.0215604758,0.7460423031,0.8305593683,0.7768004289,0.0190915683,0.739380955,0.8142199028,ANCp,rdata,(1 EQ 1)
2010_rural_Maniema,7067,296,0.6993243243,0.0266527858,0.6470848641,0.7515637845,0.708817868,0.0196174083,0.6703677477,0.7472679882,ANCp,rdata,(1 EQ 1)
2010_rural_Nord Kivu,6343,331,0.9395770393,0.0130964383,0.9139080202,0.9652460584,0.9580692627,0.009285867,0.9398689634,0.976269562,ANCp,rdata,(1 EQ 1)
2010_rural_Orientale,6031,190,0.8789473684,0.0236641959,0.8325655444,0.9253291924,0.9016332283,0.0134175589,0.8753348129,0.9279316437,ANCp,rdata,(1 EQ 1)
2010_rural_Sud Kivu,7495,356,0.8735955056,0.0176121126,0.8390757648,0.9081152464,0.8648480468,0.0155711213,0.834328649,0.8953674447,ANCp,rdata,(1 EQ 1)
2010_urban_Bandundu,3323,117,0.9829059829,0.0119835399,0.9594182447,1.0063937211,0.9797873408,0.011993865,0.9562793654,1.0032953161,ANCp,rdata,(1 EQ 1)
2010_urban_Bas Congo,2090,109,0.9633027523,0.0180088051,0.9280054943,0.9986000103,0.9816826156,0.0070440638,0.9678762506,0.9954889807,ANCp,rdata,(1 EQ 1)
2010_urban_Equateur,4736,117,0.9658119658,0.0167992706,0.9328853955,0.9987385361,0.9824746622,0.0023888743,0.9777924686,0.9871568557,ANCp,rdata,(1 EQ 1)
2010_urban_Kasai Occidental,4815,126,0.9444444444,0.0204064135,0.9044478739,0.9844410149,0.9388254298,0.0144536707,0.9104962352,0.9671546244,ANCp,rdata,(1 EQ 1)
2010_urban_Kasai Oriental,3687,123,0.8536585366,0.0318693521,0.7911946064,0.9161224668,0.8845767137,0.0182738085,0.8487600491,0.9203933784,ANCp,rdata,(1 EQ 1)
2010_urban_Katanga,3513,184,0.8206521739,0.0282825595,0.7652183573,0.8760859905,0.8484942102,0.0263993263,0.7967515307,0.9002368897,ANCp,rdata,(1 EQ 1)
2010_urban_Kinshasa,3014,364,0.9450549451,0.0119437896,0.9216451175,0.9684647726,0.8637552618,0.0045567834,0.8548239663,0.8726865573,ANCp,rdata,(1 EQ 1)
2010_urban_Maniema,4014,128,0.921875,0.0237206207,0.8753825834,0.9683674166,0.9209077752,0.0118058706,0.8977682689,0.9440472815,ANCp,rdata,(1 EQ 1)
2010_urban_Nord Kivu,3160,118,0.9830508475,0.01188286,0.9597604418,1.0063412531,0.9694620253,0.0202510012,0.929770063,1.0091539876,ANCp,rdata,(1 EQ 1)
2010_urban_Orientale,4536,165,0.9393939394,0.0185754752,0.902986008,0.9758018708,0.8723067313,0.0154200917,0.8420833516,0.9025301111,ANCp,rdata,(1 EQ 1)
2010_urban_Sud Kivu,3007,126,0.9523809524,0.0189718827,0.9151960623,0.9895658424,0.9640560913,0.0140882983,0.9364430266,0.9916691561,ANCp,rdata,(1 EQ 1)
2018_rural_Bandundu,8919,718,0.8064066852,0.0147455174,0.7775054712,0.8353078993,0.7981712934,0.0167280782,0.76538426,0.8309583267,ANCp,rdata,(1 EQ 1)
2018_rural_Bas Congo,6035,209,0.9138755981,0.0194058874,0.8758400588,0.9519111374,0.9037953209,0.0087988886,0.8865494993,0.9210411426,ANCp,rdata,(1 EQ 1)
2018_rural_Equateur,9206,1424,0.7162921348,0.0119460901,0.6928777983,0.7397064713,0.7528160147,0.0106652449,0.7319121347,0.7737198946,ANCp,rdata,(1 EQ 1)
2018_rural_Kasai Occidental,8573,622,0.6575562701,0.0190268055,0.6202637313,0.6948488089,0.7074906855,0.0144613896,0.6791463619,0.7358350091,ANCp,rdata,(1 EQ 1)
2018_rural_Kasai Oriental,8241,709,0.5796897038,0.0185378639,0.5433554905,0.6160239171,0.5661060952,0.0175329297,0.531741553,0.6004706374,ANCp,rdata,(1 EQ 1)
2018_rural_Katanga,9250,903,0.6389811739,0.0159832496,0.6076540047,0.670308343,0.6878251864,0.0122921203,0.6637326307,0.7119177421,ANCp,rdata,(1 EQ 1)
2018_rural_Maniema,6418,267,0.6891385768,0.028325727,0.6336201518,0.7446570018,0.6854657288,0.0180072037,0.6501716097,0.720759848,ANCp,rdata,(1 EQ 1)
2018_rural_Nord Kivu,6904,269,0.9814126394,0.0082349041,0.9652722274,0.9975530514,0.9868433758,0.005936517,0.9752078025,0.9984789492,ANCp,rdata,(1 EQ 1)
2018_rural_Orientale,9949,866,0.7794457275,0.0140893751,0.7518305523,0.8070609027,0.8066624106,0.0109548134,0.7851909764,0.8281338449,ANCp,rdata,(1 EQ 1)
2018_rural_Sud Kivu,7814,300,0.8966666667,0.0175741814,0.8622212711,0.9311120622,0.879675369,0.0127527824,0.8546799154,0.9046708226,ANCp,rdata,(1 EQ 1)
2018_urban_Bandundu,4020,122,0.9016393443,0.0269616967,0.8487944186,0.9544842699,0.9448756219,0.0080897102,0.9290197899,0.9607314539,ANCp,rdata,(1 EQ 1)
2018_urban_Bas Congo,1725,54,0.9259259259,0.0356389055,0.8560736711,0.9957781807,0.9319033816,0.0415901774,0.850386634,1.0134201292,ANCp,rdata,(1 EQ 1)
2018_urban_Equateur,6255,241,0.887966805,0.0203171696,0.8481451527,0.9277884573,0.9004812855,0.0124330181,0.8761125699,0.924850001,ANCp,rdata,(1 EQ 1)
2018_urban_Kasai Occidental,4793,137,0.8248175182,0.0324761091,0.7611643444,0.8884706921,0.7940399193,0.0180367138,0.7586879602,0.8293918785,ANCp,rdata,(1 EQ 1)
2018_urban_Kasai Oriental,7055,420,0.8476190476,0.0175364245,0.8132476556,0.8819904397,0.7971051067,0.016847594,0.7640838225,0.8301263908,ANCp,rdata,(1 EQ 1)
2018_urban_Katanga,4916,519,0.8265895954,0.0166187695,0.7940168072,0.8591623836,0.7972803168,0.014004988,0.7698305403,0.8247300933,ANCp,rdata,(1 EQ 1)
2018_urban_Kinshasa,2635,255,0.9490196078,0.0137742858,0.9220220078,0.9760172079,0.8917255556,0.0179555804,0.8565326181,0.9269184932,ANCp,rdata,(1 EQ 1)
2018_urban_Maniema,2796,57,0.7368421053,0.0583254356,0.6225242514,0.8511599591,0.7855269433,0.024077054,0.7383359174,0.8327179691,ANCp,rdata,(1 EQ 1)
2018_urban_Nord Kivu,2793,70,0.9857142857,0.0141833064,0.9579150051,1.0135135663,0.9695667741,0,0.9695667741,0.9695667741,ANCp,rdata,(1 EQ 1)
2018_urban_Orientale,7812,303,0.8877887789,0.0181322482,0.8522495724,0.9233279854,0.8869090288,0.0110473231,0.8652562755,0.9085617822,ANCp,rdata,(1 EQ 1)
2018_urban_Sud Kivu,3388,89,0.9101123596,0.0303181357,0.8506888135,0.9695359056,0.9031139315,0.0116067035,0.8803647927,0.9258630703,ANCp,rdata,(1 EQ 1)
